Category,Subcategory,Location,Manufacturer Name,Manufacturer Part Number,Item Description,UOM,Price,Volume,
Electrical,Batteries,Roxborough,ENERGIZER,EN93,"ENERGIZER IND ""C"" U/M EACH 12/PACK",EA, 0.58 , 71 ,
Electrical Rd 2,Batteries,Roxborough,ENERGIZER,A91BP8,"BATTERY,AA,ALK,EVRDY,GOLD",PK, 8.23 , 5 ,
Electrical Rd 2,Batteries,Roxborough,ENERGIZER,ECR2016BP,EV-REDY ECR2016BP 3V LITHIUM BAT,EA, 0.94 , 17 ,
Electrical Rd 2,Batteries,Roxborough,ENERGIZER,386/301 BATTERIES,386/301 BATTERIES                     ;,EA, 0.67 , 4 ,
Electrical Rd 2,Batteries,Roxborough,ENERGIZER,392BP,EV-REDY 392BP 1.5V WATCH BATTERY,EA, 0.71 , 2 ,
Electrical Rd 2,Batteries,Roxborough,JASCO BATTERY SPECIALIST,TL-2100S,JASCO TL-2100S 3.6V 2.1AH LITH BATT,EA, 14.03 , 8 ,
Electrical Rd 2,Batteries,Roxborough,NEWARK INONE,A76BP (81F171),A76BP81F171,EA, 1.31 , 30 ,
Electrical,Batteries,Roxborough,PANASONIC,BR2325,BR2325 3V LITHIUM BATTERIES,EA, 3.29 , 7 ,
Electrical,Batteries,Roxborough,POWER SONIC BATTERIES,PS6100,PS PS6100 6V-12AH BATTERY,EA, 25.88 , 6 ,
Electrical,Batteries,Roxborough,RAYOVAC,ALAA-24 ALKALINE AA SIZE - 24 PACK,ALAA-24 ALKALINE AA SIZE - 24 PACK,EA, 12.96 , 60 ,
Electrical,Batteries,Roxborough,RAYOVAC,I6V-B 6V (USE 627X13179) BATTERY,I6V-B 6V (USE 627X13179) BATTERY,EA, 9.58 , 72 ,
Electrical Rd 2,Batteries,Roxborough,RAYOVAC,AL-AAA-18 ALKALINE AAA 18 PACK,AL-AAA-18 ALKALINE AAA 18 PACK,EA, 9.72 , 31 ,
Electrical,Batteries,Roxborough,RAYOVAC,AL-AAA,"BATTERY,AAA,INDSTRL",PK, 1.36 , 208 ,
Electrical Rd 2,Batteries,Roxborough,RAYOVAC,I6V-B2 6 VLT LANTERN W/BATTERY,I6V-B2 6 VLT LANTERN W/BATTERY,EA, 9.31 , 18 ,
Electrical,Batteries,Roxborough,RAYOVAC,AL-AA,RAYOVAC AL-AA SZAA ALK IND BATT,EA, 0.29 , 361 ,
Electrical Rd 2,Batteries,Roxborough,RAYOVAC,AL-AA - 8 PACK,AL-AA - 8 PACK,EA, 3.45 , 26 ,
Electrical,Batteries,Roxborough,RAYOVAC,AL-D,RAYOVAC AL-D SZ D ALK IND BATT,EA, 0.86 , 100 ,
Electrical,Batteries,Roxborough,RAYOVAC,AL-9V,RAYOVAC AL-9V 9V ALK IND BATT,EA, 1.38 , 25 ,
Electrical,Batteries,Roxborough,RAYOVAC,KECR2032-1,RAYOVAC KECR2032-1 3V LITH ENT BATT,EA, 0.81 , 39 ,
Electrical,Batteries,Roxborough,RAYOVAC,AL-AA,"BATTERY,AA,INDSTRL",EA, 0.18 , 90 ,
